Run summary for multiple datasets
dataset,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7,depth_8,depth_9,depth_10
1000000x20,0.166041  ,0.198386  ,0.205915  ,0.219556  ,0.255237  ,0.288552  ,0.319823  ,0.352066  ,0.352006  ,0.40875  
2000000x20,0.209855  ,0.225418  ,0.294272  ,0.337503  ,0.41715  ,0.589503  ,0.668429  ,0.729632  ,0.785028  ,0.856385  
3000000x20,0.212496  ,0.287492  ,0.375596  ,0.608874  ,0.732914  ,0.81539  ,0.911906  ,0.989632  ,1.0738  ,1.16725  
4000000x20,0.25124  ,0.304913  ,0.634406  ,0.799508  ,0.93712  ,1.1061  ,1.25053  ,1.37951  ,1.52239  ,1.67158  
