Run summary for multiple datasets
dataset,depth_1,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7,depth_8,depth_9,depth_10
1000000x20,0.229387  ,0.229677  ,0.261466  ,0.285967  ,0.393741  ,0.472383  ,0.484402  ,0.535863  ,0.607866  ,0.662097  
2000000x20,0.286438  ,0.308358  ,0.403541  ,0.495912  ,0.669237  ,0.791439  ,0.840749  ,0.877493  ,1.04687  ,1.20215  
4000000x20,0.395209  ,0.452382  ,0.673596  ,0.875724  ,1.0715  ,1.50043  ,1.37996  ,1.58005  ,2.01041  ,2.09422  
4000000x20,0.41695  ,0.4498  ,0.666935  ,0.907095  ,1.07798  ,1.48035  ,1.42482  ,1.57805  ,2.0229  ,2.10583  
